"X";"COUNT";"MATH";"READ";"SCIE";"GLCM";"RCLI";"RCUN";"RCER";"RTSN";"RTML"
"582106";582106;"USA";494,978;499,6869;502,1913; ;458,9046;495,5583;518,7749;502,8188;504,65
"582107";582107;"USA";484,5376;482,57;516,4172; ;489,6249;487,891;484,4769;505,9359;479,9021
"582108";582108;"USA";515,1137;561,267;530,7871; ;586,3724;562,2782;593,6427;555,6373;568,936
"582109";582109;"USA";413,8649;404,0581;395,2378; ;412,6805;414,408;422,3157;403,5169;434,3992
"582110";582110;"USA";486,0708;530,5885;543,9881; ;533,6627;512,5591;559,9046;527,1988;532,0429
"582111";582111;"USA";507,5832;599,4803;522,0259; ;583,4408;583,8926;562,4189;610,0971;607,3407
"582112";582112;"USA";551,1278;594,5542;553,8547; ;582,6126;584,7049;581,4969;595,9936;606,8978
"582113";582113;"USA";409,5134;459,8295;430,3485; ;455,8226;440,3791;432,6969;464,649;444,1206
"582114";582114;"USA";411,2106;397,2048;398,7054; ;398,6088;393,1881;379,5382;378,1313;361,6104
"582115";582115;"USA";494,8493;531,1886;531,4161; ;509,542;517,4061;527,8949;496,7834;519,0961
"582116";582116;"USA";325,7086;399,4666;359,5633; ;401,1603;400,4819;397,3636;396,4272;389,3143
"582117";582117;"USA";534,2821;591,754;526,1996; ;615,7556;594,5446;565,8713;596,5773;573,6287
"582118";582118;"USA";549,5121;581,8381;580,5154; ;530,5665;563,6447;554,9921;564,864;580,2457
"582119";582119;"USA";476,5845;509,3276;486,8455; ;531,9722;531,1859;502,6708;520,2774;523,9092
"582120";582120;"USA";382,6814;433,0097;387,2242; ;416,1873;402,9203;443,1196;405,9622;426,4354
"582121";582121;"USA";399,0231;383,0289;424,1766; ;407,4501;408,0339;414,6309;414,4979;422,1723
"582122";582122;"USA";402,3618;381,4942;365,5877; ;364,1207;344,0753;315,6998;350,7929;367,4984
"582123";582123;"USA";296,1987;407,292;368,3693; ;403,5215;406,6405;394,0204;406,4516;403,8319
"582124";582124;"USA";549,8509;569,5624;566,2348; ;568,1842;571,3307;588,892;581,9127;583,0499
"582125";582125;"USA";639,2239;719,6317;717,1584; ;689,0927;686,9281;700,8358;687,92;679,1336
"582126";582126;"USA";466,8858;509,5272;501; ;498,8744;496,4482;476,1667;507,9092;507,649
"582127";582127;"USA";524,7679;551,6584;548,2127; ;570,8638;555,9475;545,4506;529,2276;569,9197
"582128";582128;"USA";272,3882;292,1198;349,5406; ;302,3717;294,6125;285,6703;288,1647;306,6124
"582129";582129;"USA";467,1065;489,5053;439,7761; ;551,3905;486,818;491,1893;484,9551;501,9258
"582130";582130;"USA";523,6649;564,3119;537,7049; ;546,0315;551,6417;569,2066;553,3449;572,8907
"582131";582131;"USA";368,2629;375,1965;384,7616; ;360,6446;364,3238;349,0055;350,4317;326,3051
"582132";582132;"USA";439,7572;570,0762;582,9728; ;527,1269;568,5654;565,6223;559,1677;578,0756
"582133";582133;"USA";490,7934;476,8153;478,5994; ;496,2764;480,8225;509,7426;489,197;489,9097
"582134";582134;"USA";399,3397;387,2758;385,0007; ;410,4194;375,1285;388,9259;384,5644;392,0615
"582135";582135;"USA";513,9099;531,5681;545,0243; ;492,9685;515,1024;527,6898;531,29;536,8998
"582136";582136;"USA";334,6755;316,6753;341,9731; ;326,244;309,0631;300,5064;293,0104;317,5606
"582137";582137;"USA";534,0835;522,3887;549,4769; ;500,6586;528,9027;521,5723;515,6774;510,4042
"582138";582138;"USA";496,047;589,972;540,3019; ;549,115;575,1054;573,6579;589,5972;568,7508
"582139";582139;"USA";558,2756;530,3307;574,0667; ;520,3165;512,495;520,5822;553,3726;535,3002
"582140";582140;"USA";496,0169;583,4309;572,1501; ;559,5093;576,6708;618,7204;587,9554;590,8898
"582141";582141;"USA";549,2966;598,4187;566,4349; ;636,0512;610,1766;605,8085;616,2212;610,1753
"582142";582142;"USA";388,4902;383,1261;397,8481; ;421,5715;413,7113;455,4603;403,5693;448,6973
"582143";582143;"USA";547,2638;632,593;595,1816; ;621,7181;622,7087;613,5013;633,2698;620,1747
"582144";582144;"USA";328,344;356,9271;373,9081; ;368,2446;350,1396;356,2795;330,358;359,0256
"582145";582145;"USA";397,4911;455,4857;396,1148; ;438,7142;447,864;448,1496;462,1677;446,1697
"582146";582146;"USA";414,8002;468,0797;487,105; ;474,3421;467,0478;449,0869;465,0752;468,0024
"582147";582147;"USA";519,8779;593,1509;590,5929; ;570,6113;598,8218;602,6974;587,1716;603,4508
"582148";582148;"USA";441,2669;485,779;497,5753; ;435,6915;408,5993;421,4965;453,8172;466,7726
"582149";582149;"USA";438,9836;373,2199;419,6986; ;404,9833;333,8805;374,5531;347,7422;355,0349
"582150";582150;"USA";536,6855;590,2404;582,1412; ;563,9898;580,0304;588,6103;582,4536;577,1729
"582151";582151;"USA";525,5257;640,6714;588,1542; ;646,393;659,7005;678,5009;660,0718;626,5662
"582152";582152;"USA";452,8948;474,2404;501,2004; ;518,0754;469,8431;485,6924;457,812;490,1944
"582153";582153;"USA";449,0189;475,4123;476,2543; ;486,7028;459,2895;463,9823;456,5646;450,5878
"582154";582154;"USA";399,9127;435,8757;372,7176; ;462,6188;426,8056;424,1749;462,1624;404,0762
"582155";582155;"USA";530,1991;536,5494;553,7027; ;535,2915;524,9157;535,8672;522,3288;519,7072
"582156";582156;"USA";525,5921;612,7703;647,4478; ;611,4221;614,4371;639,1698;592,2682;624,9274
"582157";582157;"USA";487,8972;479,7271;491,4822; ;517,5183;494,8464;536,126;501,2122;500,4532
"582158";582158;"USA";497,9557;521,6168;543,5791; ;524,6612;499,3979;549,759;510,3063;538,0584
"582159";582159;"USA";512,7125;544,2085;519,0367; ;536,6629;516,4273;517,8831;559,1167;556,0618
"582160";582160;"USA";568,0638;666,5933;585,0221; ;646,7904;649,8178;660,2133;661,4302;658,7302
"582161";582161;"USA";466,8515;498,9812;494,3666; ;468,6302;504,8687;539,5191;507,093;492,3056
"582162";582162;"USA";463,5145;499,5228;508,5462; ;497,3039;514,3041;501,6097;508,0361;495,6677
"582163";582163;"USA";437,3675;388,0991;442,1758; ;365,532;373,1713;410,9999;390,3875;376,2812
"582164";582164;"USA";580,4072;592,7193;589,8305; ;564,6617;580,456;589,3589;602,1328;601,7543
"582165";582165;"USA";508,4396;574,437;538,8461; ;583,36;575,2794;602,4551;576,3173;606,1728
"582166";582166;"USA";589,3951;608,043;566,795; ;589,3501;602,1444;599,5077;625,1512;597,1377
"582167";582167;"USA";325,6331;383,9441;414,3467; ;415,8208;400,3754;373,7282;365,7643;394,6735
"582168";582168;"USA";344,1257;302,5194;300,5878; ;293,1091;279,631;299,9983;254,4325;279,0135
"582169";582169;"USA";541,7109;508,956;530,806; ;528,7672;506,3053;527,388;483,3316;534,0693
"582170";582170;"USA";487,9133;520,2614;529,4228; ;501,9703;517,4229;505,2365;518,1967;499,3398
"582171";582171;"USA";407,4028;462,5057;455,4804; ;470,9839;441,6492;473,1633;461,3111;459,5068
"582172";582172;"USA";481,6977;498,2287;430,9531; ;489,8849;519,3302;518,2455;516,9087;498,0965
"582173";582173;"USA";371,5392;360,4618;360,4834; ;307,9384;321,2;323,5219;317,1605;321,5182
"582174";582174;"USA";430,9021;406,3007;468,7308; ;371,3181;400,1445;382,5067;396,2281;391,8549
"582175";582175;"USA";548,5065;604,5236;541,1269; ;581,8711;581,9275;600,692;581,9632;586,6714
"582176";582176;"USA";638,3833;694,2685;660,7329; ;711,3017;681,8592;691,7103;671,5985;705,8982
"582177";582177;"USA";620,17;553,5044;554,711; ;549,1122;522,368;536,7931;541,7945;531,7802
"582178";582178;"USA";504,6281;572,0803;539,8128; ;550,773;557,6329;570,7384;577,9752;567,6973
"582179";582179;"USA";430,976;471,1859;457,9689; ;481,2545;485,4154;480,4886;486,2336;476,7794
"582180";582180;"USA";427,7096;486,0161;468,6143; ;480,087;464,7029;487,8606;467,3524;489,536
"582181";582181;"USA";507,9497;647,7214;592,2613; ;619,8505;609,5971;630,0572;614,3194;635,9284
"582182";582182;"USA";420,4226;334,3358;372,819; ;402,3838;358,3411;413,3738;368,3237;362,8845
"582183";582183;"USA";649,231;664,0396;673,05; ;627,2143;666,6535;693,9077;634,7347;674,3566
"582184";582184;"USA";647,6241;700,8774;704,3883; ;642,1774;689,3423;710,7731;695,3106;673,5685
"582185";582185;"USA";448,3179;475,0608;469,523; ;432,6694;472,4514;481,4407;475,9162;450,2915
"582186";582186;"USA";422,9089;487,1689;479,7252; ;448,651;471,1668;475,6569;472,8555;493,8984
"582187";582187;"USA";416,19;499,4413;461,8048; ;513,2808;499,7825;501,76;494,7263;501,2484
"582188";582188;"USA";350,2597;361,29;382,6565; ;407,3442;357,6316;404,8265;373,204;373,5559
"582189";582189;"USA";427,3615;432,2518;417,6131; ;428,4643;406,6853;422,0078;428,9934;422,282
"582190";582190;"USA";521,6353;546,8481;543,9711; ;547,5647;544,9037;545,2685;553,8066;528,9591
"582191";582191;"USA";628,1991;574,6494;645,7732; ;549,0279;564,756;604,6717;586,711;561,3395
"582192";582192;"USA";471,7108;504,5445;493,575; ;479,115;479,8894;463,2161;503,7033;486,2516
"582193";582193;"USA";519,572;546,1604;536,5327; ;545,3176;549,5419;564,8336;551,1429;546,4905
"582194";582194;"USA";462,8403;500,2017;520,1251; ;509,7003;489,0999;483,2061;478,7088;504,8669
"582195";582195;"USA";584,3466;670,5314;658,9802; ;651,9277;657,2578;663,4466;673,2798;671,386
"582196";582196;"USA";467,1368;489,9229;497,3149; ;494,5688;476,6104;500,7701;460,9265;484,8095
"582197";582197;"USA";446,0917;467,0104;508,6409; ;445,7189;463,7856;459,1883;468,0126;491,3702
"582198";582198;"USA";652,438;662,6866;652,5443; ;636,5365;656,5418;667,123;648,8079;635,2681
"582199";582199;"USA";474,0817;556,1328;541,6406; ;602,8275;576,0352;568,2223;573,569;580,1299
"582200";582200;"USA";515,9725;572,7459;561,2762; ;569,1293;557,1563;610,4677;577,9875;591,9787
"582201";582201;"USA";440,8656;375,2601;413,4944; ;365,4604;366,0805;328,479;337,1755;378,5866
"582202";582202;"USA";562,8554;630,7221;609,5977; ;646,9867;633,0511;628,7121;629,2637;647,8178
"582203";582203;"USA";335,7558;300,565;312,2984; ;235,9111;252,3456;304,3951;270,0159;265,52
"582204";582204;"USA";493,3344;485,0975;515,5854; ;470,3049;470,7709;464,4501;487,0057;470,5435
"582205";582205;"USA";326,0151;309,4401;351,5921; ;352,7964;292,5815;286,6503;307,5389;321,8097
"582206";582206;"USA";477,8547;481,94;504,5533; ;474,5786;453,8147;477,6041;477,1314;471,0689
"582207";582207;"USA";449,9545;503,9496;448,5537; ;510,6508;500,6199;505,6186;507,8295;502,736
"582208";582208;"USA";455,6729;505,145;522,2639; ;500,7994;479,3395;506,357;499,7032;513,2356
"582209";582209;"USA";332,1858;276,9468;315,0651; ;276,1232;262,972;276,039;261,2196;260,5403
"582210";582210;"USA";580,82;628,3903;651,3137; ;621,325;638,3916;671,557;629,9843;633,3446
"582211";582211;"USA";456,4491;457,8338;502,4404; ;465,7156;445,8021;473,5556;437,3542;466,2731
"582212";582212;"USA";371,875;396,699;378,8407; ;415,4228;415,5458;436,1844;423,3862;407,8565
"582213";582213;"USA";426,1132;450,8194;444,4456; ;506,3632;476,0268;445,6848;462,0804;480,421
"582214";582214;"USA";580,2104;620,4628;631,6649; ;598,0673;629,9598;632,4989;641,5819;634,4102
"582215";582215;"USA";313,5736;382,474;373,0255; ;354,5676;368,5931;332,1374;349,631;355,7031
"582216";582216;"USA";534,0981;578,4229;600,701; ;635,6195;631,5456;668,8527;624,4328;622,6699
"582217";582217;"USA";437,1086;480,4314;448,7746; ;484,9732;454,3507;483,8273;465,8822;445,0782
"582218";582218;"USA";536,5731;554,1318;590,7328; ;534,7146;556,4363;545,2063;568,5667;557,0246
"582219";582219;"USA";443,1221;532,7804;458,2506; ;552,7145;520,8349;500,0555;521,0703;512,2319
"582220";582220;"USA";502,0451;527,3461;499,1187; ;548,4983;544,3134;546,8139;547,4211;515,6562
"582221";582221;"USA";471,5716;490,7178;522,1549; ;490,7778;487,6434;461,7378;509,0859;481,2657
"582222";582222;"USA";394,1852;466,5206;446,5924; ;428,093;420,3696;474,0668;443,8842;456,0683
"582223";582223;"USA";418,6105;431,2803;447,1981; ;423,7894;423,408;425,0424;448,0229;414,7726
"582224";582224;"USA";379,3976;364,4239;402,0076; ;385,0217;351,6473;388,2933;349,8218;384,3588
"582225";582225;"USA";488,3797;529,6191;483,7251; ;533,6304;496,815;513,9062;517,3432;523,9071
"582226";582226;"USA";366,8159;500,3333;457,2234; ;503,6752;472,4052;490,378;468,7795;503,537
"582227";582227;"USA";513,7381;561,2019;547,9167; ;572,4999;556,979;584,2888;559,4499;574,44
"582228";582228;"USA";570,0844;647,4904;575,4584; ;618,946;639,3579;635,5476;665,8429;636,692
"582229";582229;"USA";543,0531;621,9577;609,6504; ;568,8807;594,5473;619,6382;606,2556;626,3055
"582230";582230;"USA";377,1807;312,5433;321,3182; ;391,9124;310,4369;292,4044;295,311;339,6625
"582231";582231;"USA";497,0508;490,1887;520,0858; ;450,6941;462,8192;504,2978;467,889;474,9699
"582232";582232;"USA";319,3033;349,7694;369,0125; ;358,5936;355,0461;335,007;346,6982;348,3976
"582233";582233;"USA";506,8445;572,8422;509,0262; ;547,3542;567,047;554,9547;564,5444;556,1505
"582234";582234;"USA";550,2543;588,6355;583,5632; ;607,1413;586,5841;580,9557;552,6943;585,8628
"582235";582235;"USA";480,799;525,3381;503,9325; ;509,7083;507,4096;543,0249;488,3438;504,1397
"582236";582236;"USA";466,5091;444,6731;459,9255; ;432,3447;415,5354;453,8351;451,4571;423,8623
"582237";582237;"USA";551,1651;556,8689;555,5371; ;556,0325;561,4089;569,6965;582,3391;562,4352
"582238";582238;"USA";610,7591;681,0547;625,8277; ;657,0884;670,8722;685,3962;642,4838;634,6691
"582239";582239;"USA";378,236;464,5436;426,4741; ;493,0163;462,8648;454,5034;447,3486;472,1855
"582240";582240;"USA";507,3426;577,6293;565,0928; ;584,3045;620,4405;592,0685;607,1812;593,7475
"582241";582241;"USA";537,3521;520,1202;525,9106; ;521,5244;522,4324;520,1291;533,1312;528,8517
"582242";582242;"USA";573,0649;645,3207;605,336; ;643,3384;647,0272;643,1608;619,4244;635,2345
"582243";582243;"USA";506,3068;579,765;532,455; ;566,6089;575,3298;584,281;582,6717;574,2215
"582244";582244;"USA";366,0137;391,3748;377,5205; ;361,5348;368,574;325,2397;367,488;368,6045
"582245";582245;"USA";479,7801;502,461;503,5816; ;501,3978;485,7487;506,4809;502,4322;486,1956
"582246";582246;"USA";477,2288;562,0828;594,8307; ;551,0641;568,4445;589,3561;559,6112;555,3587
"582247";582247;"USA";580,1423;619,2106;619,8561; ;591,0633;600,2831;612,7539;606,8241;605,412
"582248";582248;"USA";520,3152;588,9117;553,3165; ;571,7495;546,806;593,1102;555,7478;598,0721
"582249";582249;"USA";218,3382;274,3593;194,513; ;252,3239;241,1752;247,5888;232,1877;257,7072
"582250";582250;"USA";341,8845;341,5138;322,2735; ;360,7672;348,7157;359,1317;340,7972;333,4234
"582251";582251;"USA";434,0375;466,7405;483,6293; ;441,4992;446,7857;487,0276;435,2582;471,7462
"582252";582252;"USA";421,4737;458,405;475,1005; ;420,2115;455,9704;453,1252;476,0345;443,3052
"582253";582253;"USA";477,309;487,1793;484,2198; ;453,2855;464,9133;486,668;452,2425;490,4736
"582254";582254;"USA";443,5949;462,7363;457,4709; ;434,3032;449,1055;477,7347;434,4623;475,2243
