"id","estimation_ges","classe_estimation_ges"
10693282,0,"N"
10693317,1,"A"
10693318,0,"N"
10693329,9.17,"B"
10693336,0,"N"
10693338,0,"N"
10693355,0,"N"
10693386,0,"N"
10693398,0,"N"
10693449,4.03,"A"
10693467,6,"B"
10693470,0,"N"
10693477,25.6,"B"
10693498,25.6,"B"
10693500,0,"N"
10693531,5.29,"A"
10693540,0,"N"
10693579,0,"N"
10693606,6,"B"
10693631,3,"A"
10693639,0,"N"
10693649,0,"N"
10693654,3,"A"
10693656,0,"N"
10693662,0,"N"
10693839,0,"N"
10693870,0,"N"
10693905,0,"N"
10693964,0,"N"
10693987,6.02,"B"
10693989,0,"N"
10693999,0,"N"
10694000,42.1,"D"
10694035,0,"N"
10694039,0,"N"
10694051,0,"N"
10694085,0,"N"
10694093,7,"B"
10694135,20,"C"
10694147,4.75,"B"
10694180,0,"N"
10694227,33,"D"
10694263,0,"N"
10694264,0,"N"
10694314,15,"C"
10694338,0,"N"
10694473,88,"E"
10694512,0,"N"
10694537,0,"N"
10694542,0,"N"
10694551,0,"N"
10694567,0,"N"
10694694,0,"N"
10694700,17,"C"
10694708,0,"N"
10694710,8,"B"
10694728,0,"N"
10694739,21,"C"
10694746,10.7,"N"
10694818,58.7,"D"
10694838,0,"N"
10694857,0,"N"
10694861,0,"N"
10694871,0,"N"
10694872,0,"N"
10694891,4,"A"
10694897,0,"N"
10694938,4.76,"B"
10695153,0,"N"
10695190,17,"C"
10695255,0,"N"
10695276,0,"N"
10695379,0,"N"
10695400,0,"N"
10695408,42,"D"
10695415,0,"N"
10695447,11.41,"C"
10695467,12.2,"C"
10695468,0,"N"
10695482,0,"N"
10695521,9,"B"
10695523,7,"B"
10695524,0,"N"
10695536,7,"B"
10695681,36.33,"D"
10695747,0,"N"
10695797,10.57,"B"
10695839,0,"N"
10695851,1.36,"A"
10695887,5,"B"
10695944,10,"B"
10695945,6.32,"A"
10695966,2.2,"A"
10696011,9.12,"B"
10696035,0,"N"
10696045,23,"C"
10696146,12,"A"
10696169,10.05,"B"
10696208,64.91,"E"
10696220,7.29,"B"
10696228,0,"N"
10696258,0,"N"
10696272,0,"N"
10696352,4.16,"B"
10696367,3.06,"A"
10696403,3,"A"
10696410,0,"N"
10696455,0,"N"
10696478,3,"A"
10696593,0,"A"
10696602,22,"B"
10696616,0,"N"
10696619,6.99,"B"
10696648,0,"N"
10696728,0,"N"
10696738,23,"C"
10696808,31,"D"
10696811,7,"B"
10696812,3.95,"A"
10696833,9,"B"
10696848,0,"N"
10696855,47,"E"
10696866,0,"N"
10696936,12,"C"
10696956,8,"B"
10697027,6.56,"B"
10697052,0,"N"
10697066,0,"A"
10697078,0,"N"
10697110,0,"N"
10697135,0,"N"
10697164,0,"N"
10697176,9.8,"B"
10697209,9.89,"B"
10697210,0,"N"
10697215,8.88,"B"
10697229,46,"E"
10697232,0,"N"
10697243,65,"E"
10697280,65,"E"
10697393,0,"N"
10697408,12.56,"B"
10697417,0,"N"
10697431,9,"B"
10697434,0,"N"
10697446,0,"N"
10697462,7.74,"B"
10697475,0,"N"
10697519,5,"B"
10697770,0,"N"
10697812,7.08,"B"
10697847,0,"N"
10697879,11,"B"
10697898,0,"N"
10697899,0,"N"
10697989,11.82,"C"
10698047,230,"G"
10698051,0,"N"
10698060,0,"N"
10698170,36.56,"D"
10698198,0,"N"
10698242,0,"N"
10698253,3.9,"A"
10698270,0,"N"
10698289,0,"N"
10698301,0,"N"
10698304,0,"N"
10698314,43,"D"
10698334,6,"A"
10698398,0,"N"
10698402,6,"A"
10698404,43.02,"D"
10698455,0,"N"
10698485,0,"N"
10698534,0,"N"
10698585,0,"N"
10698590,0,"N"
10698598,0,"N"
10698616,0,"N"
10698734,0,"A"
10698815,0,"N"
10698830,33,"D"
10698832,23.11,"C"
10698874,0,"N"
10698963,9,"B"
10698991,7,"B"
10699040,5,"A"
10699066,0,"N"
10699107,9,"B"
10699123,35,"D"
10699168,2,"A"
10699189,4,"A"
10699213,8,"B"
10699221,0,"N"
10699225,3,"A"
10699241,0,"N"
10699244,0,"N"
10699250,0,"N"
10699259,0,"N"
10699264,0,"A"
10699274,0,"N"
10699287,10,"B"
10699291,6,"B"
10699295,0,"N"
10699366,0,"A"
10699378,0,"A"
10699394,0,"N"
10699401,8,"B"
10699424,0,"N"
10699428,0,"N"
10699457,20.48,"C"
10699459,0,"N"
10699469,0,"A"
10699482,0,"N"
10699555,0,"N"
10699613,0,"N"
10699631,0,"N"
10699647,0,"N"
10699662,0,"N"
10699697,0,"N"
10699707,25.96,"C"
10699708,0,"N"
10699754,0,"A"
10699763,0,"A"
10699769,1,"A"
10699775,0,"A"
10699793,9.91,"B"
10699803,1,"A"
10699807,0,"N"
10699810,1,"A"
10699819,26.88,"C"
10699844,0,"N"
10699877,0,"N"
10699904,31,"D"
10699909,34,"D"
10699912,31,"D"
10699956,0,"N"
10699963,6,"B"
10699977,7.9,"B"
10699996,0,"N"
10700002,0,"N"
10700005,18.63,"C"
10700028,0,"N"
10700032,36.94,"C"
10700050,25,"C"
10700066,11,"C"
10700086,54.54,"E"
10700090,0,"N"
10700091,25,"C"
10700096,7,"B"
10700098,0,"N"
10700104,7,"B"
10700110,0,"N"
10700159,0,"N"
10700206,0,"N"
10700231,81,"F"
10700352,0,"N"
10700365,11.83,"N"
10700393,11.83,"N"
10700422,25,"C"
10700440,11.83,"N"
10700449,0,"N"
10700464,11.83,"N"
10700493,38.66,"D"
10700515,11.83,"N"
10700601,11.83,"N"
10700656,11.83,"N"
10700705,5.34,"A"
10700707,11.83,"N"
10700713,2.95,"A"
10700738,11.83,"N"
10700767,0,"N"
10700774,11.83,"N"
10700779,0,"N"
10700786,11.83,"N"
10700790,11.83,"N"
10700793,11.24,"C"
10700796,11.83,"N"
10700803,11.83,"N"
10700806,0,"N"
10700846,11.83,"N"
10700855,11.83,"N"
10700878,0,"N"
10700891,34,"D"
10700940,0,"N"
10701019,8,"B"
10701052,7,"B"
10701058,17,"C"
10701067,14,"C"
10701082,0,"N"
