"id","date_etablissement_dpe","consommation_energie","classe_consommation_energie","secteur_activite","annee_construction","surface_habitable","commune"
10676636,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"63.80","SAINT-BRIEUC"
10676656,2021-01-05,140,"C","Autres",1974,"0.00","VERNAISON"
10676704,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"194.70","RENNES"
10676705,2021-01-05,225,"D","Batiment(s) a usage de commerces et d habitat",1947,"0.00","LA BOURBOULE"
10676718,2021-01-05,466.57,"F","",2003,"0.00","GÉRARDMER"
10676729,2021-01-05,112,"C","Autres (théâtres, salles de sport, restaurati",1,"144.53","ISTRES"
10676752,2021-01-05,187,"C","Bureau, Administration, Enseignement",1947,"175.12","PARIS - 16EME"
10676863,2021-01-05,0,"N","Bureau, Administration, Enseignement",1947,"126.50","LONS LE SAUNIER"
10676870,2021-01-05,0,"N","\N",1948,"360.00","Pontorson"
10676880,2021-01-05,120,"C","Autres (théâtres, salles de sport, restaurati",1,"198.35","ISTRES"
10676896,2021-01-05,120,"C","Autres (théâtres, salles de sport, restaurati",1,"198.35","ISTRES"
10676923,2021-01-05,139,"C","Autres",1974,"0.00","VERNAISON"
10677053,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"473.00","LIMOGES"
10677089,2021-01-05,328.88,"E","\N",1947,"177.52","COURCELLES-LÈS-LENS"
10677195,2021-01-05,235,"D","Autres (théâtres, salles de sport, restaurati",1,"134.51","ISTRES"
10677214,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"117.63","CUSSET"
10677224,2021-01-05,0,"N","Commerce",2000,"0.00","METZ"
10677302,2021-01-05,268.06,"D","Restaurant",1974,"567.60","MONTREVERD"
10677363,2021-01-05,85,"B","Autres (théâtres, salles de sport, restaurati",1,"249.73","LA FERRIERE"
10677371,2021-01-05,63,"B","Autres (théâtres, salles de sport, restaurati",1947,"550.00","LABASTIDE-ROUAIROUX"
10677384,2021-01-05,0,"N","Habitation (parties privatives d immeuble col",1947,"0.00","APT"
