"X";"COUNT";"MATH";"READ";"SCIE";"GLCM";"RCLI";"RCUN";"RCER";"RTSN";"RTML"
"180071";180071;"FRA";417,4856;340,4036;391,1186; ;309,775;323,49;327,6843;341,9957;325,3452
"180072";180072;"FRA";603,9589;614,555;587,4776; ;633,3466;625,4586;615,532;623,7;606,0524
"180073";180073;"FRA";481,7873;505,9034;472,2118; ;522,5884;505,0804;498,4583;515,5184;522,1266
"180074";180074;"FRA";484,2213;437,3308;445,7829; ;442,3264;440,8453;433,7625;427,6652;445,9927
"180075";180075;"FRA";449,2162;439,9617;450,2049; ;436,3482;418,6647;397,4002;411,6233;426,5798
"180076";180076;"FRA";633,2009;665,5475;664,6601; ;627,9719;650,5782;682,7158;653,5353;669,5604
"180077";180077;"FRA";369,8352;354,3975;395,837; ;346,9845;330,0342;331,2357;318,3949;330,2937
"180078";180078;"FRA";410,0018;365,2579;411,48; ;368,6544;320,769;370,2665;307,0444;353,4737
"180079";180079;"FRA";418,7912;380,1225;411,3772; ;383,2569;399,6912;393,364;365,273;392,2128
"180080";180080;"FRA";604,2105;626,8641;608,7746; ;637,6802;654,3038;626,3533;626,4321;626,8693
"180081";180081;"FRA";355,4918;399,6164;380,9058; ;408,6299;404,8787;374,4795;403,7051;395,3777
"180082";180082;"FRA";331,5557;344,3447;362,2313; ;313,1845;342,3661;346,0495;325,4421;358,3587
"180083";180083;"FRA";450,4829;432,9523;463,9742; ;453,3404;410,4503;437,7251;406,9678;426,8461
"180084";180084;"FRA";488,2017;538,9151;506,8899; ;529,9113;525,2265;518,9991;515,9859;523,6397
"180085";180085;"FRA";379,3055;350,3733;376,7889; ;333,2848;334,4511;318,1109;335,2488;335,6243
"180086";180086;"FRA";593,517;587,7438;615,3316; ;586,9707;578,3817;586,3754;591,0324;561,4195
"180087";180087;"FRA";394,3768;381,2027;386,6202; ;363,1187;354,3028;364,044;339,8325;374,1522
"180088";180088;"FRA";435,983;422,8808;404,4464; ;405,3754;399,241;417,3887;404,0352;395,9423
"180089";180089;"FRA";404,1056;360,6792;406,9397; ;316,7488;334,5596;330,4448;332,1985;349,8832
"180090";180090;"FRA";604,5992;626,7539;601,6465; ;633,4429;644,3611;603,933;634,843;627,2201
"180091";180091;"FRA";526,7793;592,3818;537,2542; ;604,6132;594,076;624,5423;615,7436;612,268
"180092";180092;"FRA";351,7338;362,3633;337,5153; ;376,275;335,5754;335,4851;321,0699;346,5865
"180093";180093;"FRA";582,2984;616,7972;608,3997; ;641,7788;625,9545;634,0263;631,7064;610,523
"180094";180094;"FRA";439,27;459,9685;461,8676; ;425,3402;439,1436;409,0779;428,2039;448,8482
"180095";180095;"FRA";563,6245;545,6353;559,9914; ;510,9763;571,9366;549,4647;539,9892;522,2174
"180096";180096;"FRA";386,6884;424,2154;366,156; ;441,9968;423,2492;392,0839;424,9986;408,0531
"180097";180097;"FRA";375,9038;414,5981;361,5948; ;449,7544;397,1627;401,6846;404,9436;427,417
"180098";180098;"FRA";461,1723;462,7712;455,9352; ;499,2963;459,8103;434,4632;439,6182;474,0573
"180099";180099;"FRA";459,2733;495,2603;505,4727; ;484,2391;491,9024;496,7741;497,166;510,0285
"180100";180100;"FRA";608,7852;577,6877;607,3807; ;584,9338;578,5965;576,748;590,0271;600,2946
"180101";180101;"FRA";403,4445;456,8312;436,3843; ;488,884;443,9216;474,674;444,0778;474,1705
"180102";180102;"FRA";535,0695;528,8046;563,5208; ;553,2572;542,2138;530,5445;523,9727;521,1549
"180103";180103;"FRA";402,8909;442,3875;485,3421; ;434,4347;435,2492;439,7934;441,5886;421,2954
"180104";180104;"FRA";428,4592;458,8452;415,7323; ;480,8612;459,2562;495,4589;458,4423;481,5913
"180105";180105;"FRA";471,8312;544,0561;513,4031; ;563,1546;545,2805;540,289;557,2042;537,4852
"180106";180106;"FRA";374,3205;389,0809;400,8658; ;388,5816;372,9501;368,7299;392,5019;382,7642
"180107";180107;"FRA";599,3285;593,4092;553,4846; ;619,9077;626,3355;622,8492;643,742;611,1748
"180108";180108;"FRA";524,6262;596,3002;578,8718; ;575,7715;578,9386;572,4245;604,0317;602,0666
"180109";180109;"FRA";544,4892;498,7048;507,7291; ;505,8267;499,0257;524,4161;477,0268;493,5917
"180110";180110;"FRA";315,005;358,3731;373,3027; ;377,7406;350,2908;317,365;348,3102;337,6049
"180111";180111;"FRA";575,66;673,3038;613,1545; ;694,1628;658,657;683,3126;640,1669;672,5652
"180112";180112;"FRA";563,9837;582,6352;582,0801; ;554,4985;585,1423;572,3451;587,8015;591,231
"180113";180113;"FRA";268,887;270,0582;295,9888; ;244,7262;268,4109;262,7604;268,3986;267,1925
"180114";180114;"FRA";543,0746;640,8613;584,6331; ;657,0608;655,7842;677,8371;649,8524;635,8459
"180115";180115;"FRA";609,0367;627,2133;665,6655; ;673,0388;651,4876;679,9618;646,9934;688,5832
"180116";180116;"FRA";560,8346;505,7942;539,6118; ;501,6957;504,677;520,5675;493,4541;511,0997
"180117";180117;"FRA";493,6455;576,0356;530,1648; ;560,0308;586,8178;584,3459;568,8258;555,0003
"180118";180118;"FRA";533,0521;466,3457;544,4392; ;421,9247;470,481;478,4047;473,0098;475,8924
"180119";180119;"FRA";506,8294;513,9301;465,2908; ;539,5683;515,5301;514,0112;512,3793;522,8161
"180120";180120;"FRA";450,9405;440,4503;432,15; ;422,2705;441,9453;434,5744;442,9873;472,125
"180121";180121;"FRA";396,5572;376,1552;333,4707; ;387,0973;384,0489;354,1724;356,2597;383,1729
"180122";180122;"FRA";341,8679;267,8701;367,9457; ;284,5154;319,4712;294,3222;272,2193;303,6045
"180123";180123;"FRA";520,2952;517,762;547,9019; ;475,8571;532,6989;525,1317;540,7845;496,075
"180124";180124;"FRA";426,9118;423,4999;424,2891; ;493,5012;441,0223;451,2013;452,393;427,3809
"180125";180125;"FRA";502,7471;562,1053;533,2608; ;557,4327;549,883;553,5357;558,9007;536,4157
"180126";180126;"FRA";454,7114;467,2748;421,3078; ;477,8593;465,0274;452,9263;487,1433;455,3151
"180127";180127;"FRA";413,7354;353,8832;385,4591; ;368,4124;353,5651;335,287;344,2921;358,5179
"180128";180128;"FRA";588,2924;644,3318;647,4727; ;660,9202;636,265;634,6827;636,2765;637,5654
"180129";180129;"FRA";643,8918;599,1657;615,6945; ;579,6413;641,4964;643,2984;619,5471;639,3948
"180130";180130;"FRA";632,9876;555,4208;592,2673; ;543,9937;530,3225;562,1877;561,6095;553,5705
"180131";180131;"FRA";613,7097;652,3709;678,4595; ;627,4132;649,9775;654,4245;628,3313;642,9767
"180132";180132;"FRA";535,0424;565,37;493,5623; ;560,3332;561,1761;550,847;551,2158;580,5284
"180133";180133;"FRA";532,6454;640,5041;573,3257; ;614,2552;633,0927;615,497;620,9318;645,8256
"180134";180134;"FRA";542,3048;545,585;555,1238; ;541,5559;562,663;532,17;501,5622;542,446
"180135";180135;"FRA";629,592;626,6778;651,2321; ;644,1634;636,9245;631,6373;620,5813;648,7521
"180136";180136;"FRA";447,4415;488,8171;450,7747; ;479,3732;468,1557;439,663;428,6878;479,176
"180137";180137;"FRA";444,6967;470,4556;432,2862; ;468,8569;468,218;452,2227;459,2584;467,0304
"180138";180138;"FRA";429,6497;515,6358;455,1293; ;515,7315;516,5233;478,1177;508,9503;496,986
"180139";180139;"FRA";410,0594;380,3496;354,5527; ;362,0177;370,1147;350,5732;335,9796;366,603
"180140";180140;"FRA";338,4862;347,3527;363,2285; ;328,3848;328,1574;328,8994;341,5723;338,0786
"180141";180141;"FRA";640,0819;672,9895;681,1363; ;663,9448;660,5223;677,1639;650,9061;663,8281
"180142";180142;"FRA";553,8613;635,5357;587,6215; ;670,1022;657,1724;640,3205;649,518;638,5555
"180143";180143;"FRA";577,2095;530,6766;521,7952; ;554,9087;516,0235;550,0998;548,0855;530,8898
"180144";180144;"FRA";431,6541;489,8424;486,6959; ;459,9892;467,6594;449,4609;475,7884;479,0226
"180145";180145;"FRA";577,5875;556,9436;577,3357; ;588,5432;589,8124;567,1915;575,3675;579,0957
"180146";180146;"FRA";518,3028;468,6513;506,6272; ;442,0128;478,8585;433,3278;450,5548;439,5403
"180147";180147;"FRA";399,151;402,0397;385,0139; ;377,577;392,2364;382,3098;366,8311;400,1042
"180148";180148;"FRA";555,3393;467,7512;552,5826; ;443,1418;455,8836;476,5053;456,6493;464,9431
"180149";180149;"FRA";535,5417;513,4254;537,2194; ;539,3576;522,5408;555,8461;501,8772;522,5113
"180150";180150;"FRA";416,6764;457,1927;413,9494; ;436,5345;454,9228;454,5596;472,5425;452,191
"180151";180151;"FRA";432,8938;442,7845;414,4642; ;439,9219;440,7302;448,3394;418,9353;423,8441
"180152";180152;"FRA";387,6576;311,4485;331,1912; ;334,1194;279,7346;283,196;254,8705;296,0731
"180153";180153;"FRA";637,624;637,3154;647,3984; ;627,3565;625,9009;654,0064;629,3533;622,5638
"180154";180154;"FRA";629,6328;631,0721;620,1851; ;648,0088;640,0233;634,806;620,9899;621,8066
"180155";180155;"FRA";606,2625;585,6814;599,0946; ;604,6348;596,3145;602,0589;615,5361;605,1907
"180156";180156;"FRA";391,043;455,9372;455,4754; ;464,2794;467,9068;457,2043;461,5328;464,443
"180157";180157;"FRA";364,157;408,7204;358,9646; ;435,8908;439,5305;399,1386;396,4063;412,6045
"180158";180158;"FRA";512,2873;416,0597;462,5526; ;419,4735;413,7291;400,0774;406,704;421,7169
"180159";180159;"FRA";315,8255;272,0948;322,7371; ;234,6077;233,2635;256,6711;242,5264;253,8471
"180160";180160;"FRA";390,3171;422,7809;378,0743; ;410,0011;405,8597;402,9875;419,6971;436,0393
"180161";180161;"FRA";457,5369;479,7744;430,7492; ;511,8585;480,4527;487,7307;486,7071;501,1478
"180162";180162;"FRA";499,8742;503,637;523,2042; ;518,6503;515,8189;478,6724;510,6027;510,0063
"180163";180163;"FRA";498,3555;483,2855;422,8726; ;482,1471;477,0886;470,6599;465,6393;484,589
"180164";180164;"FRA";405,5661;381,8725;369,3875; ;381,3522;370,4293;381,315;353,0928;378,0904
"180165";180165;"FRA";548,2876;520,4493;553,9327; ;518,3364;532,7929;523,3333;520,4937;504,8805
"180166";180166;"FRA";540,9369;527,9342;536,2043; ;526,2404;550,3671;559,6495;549,7985;551,9611
"180167";180167;"FRA";381,9994;383,7431;418,6293; ;387,1683;407,6469;393,3411;388,1775;401,532
"180168";180168;"FRA";493,8567;482,1926;465,6622; ;498,2877;484,1576;464,858;473,117;508,6501
"180169";180169;"FRA";334,6967;344,6418;321,4495; ;314,0604;313,2756;318,4611;307,7345;315,7562
"180170";180170;"FRA";438,8143;497,2253;456,1488; ;444,7579;466,6007;463,6182;483,8434;440,7766
"180171";180171;"FRA";368,4898;369,532;366,9762; ;347,4415;357,2975;391,1999;385,3302;381,1161
"180172";180172;"FRA";534,574;553,4763;560,934; ;580,7476;550,8708;562,9593;549,4028;556,7109
